pid,filename,department,current_location,description,label,object_type,location,other_number,other_number_type,culture,culture_area,manufacture_location_mint,period,_date,earliest,latest,iconography,maker,technique,height_cm,length_cm,width_cm,depth_cm,thickness_cm,outside_diameter_cm,weight_kg,irn_unique_id,credit_line,reference_bibliography,exhibition_history,source,order,layout,collection,thumbnail,full
obj11,C400_297833.jpeg,Asian,On Display,"Gilt bronze statuette of Guanyin. Tall graceful figure standing holding lotus bud in hands. Over the forehead at the base of the high crown headdress is a tiny figure of the Amida Buddha. When acquired, the statue was covered with a thick emerald green patina except for the hands, face and throat which retained their smooth gilding; there were traces of gold on the garments. The statue has since been cleaned. Found in a river near the Aipao village which was the ancient seat of the Jianning Monastery; the village is a suburb of Liaoyang, south of Shenyang in Liaoning Province.",Statuette,Copper Alloy|Wood|Bronze|Gilding,China|Manchuria|Aipao,,,Chinese|Buddhist,,,Liao Dynasty,10th century,900,999,Guanyin|Amida Buddha,,Gilt,70,,16,16,,,23.6,319103,"Purchased from C. T. Loo|Subscription of Mrs. Emory R. Johnson, 1921","[Article] Steinhardt, Nancy S. 2010. The Luohan that Came from Afar. Expedition: The Magazine of the University of Pennsylvania Museum of Archaeology and Anthropology. 52 (3): 7-8.|[Article] Steinhardt, Nancy S. 2008. The Chinese Rotunda. Arts of Asia. 38",Sphinx Gallery - Exhibition (16 Nov 2019)|Buddhist Asia - Exhibition (21 Oct 2012 - 01 Apr 2022),https://www.penn.museum/collections/object.php?irn=319103,10,qatar_item,museum,/img/derivatives/simple/obj11/thumbnail.jpg,/img/derivatives/simple/obj11/fullwidth.jpg
obj12,A397A_01.jpeg,Asian,Collections Storage,"Ainu woman's formal coat, ruunpe (????). This coat was tailored with a number of different materials. The cotton cloth around the waist was most likely imported from Honshu, the largest island of Japan. The central back panel, with silk cloth applique and nettle thread (irakusa) stitching is very old, possibly 200-300 years. The sleeves and middle band are later additions. The applique is more in the style of Volcano Bay.",Coat,Cotton|Silk|Nettle,Japan|Hokkaido|Shiraoi,,,Ainu,,,,,,,,,Woven|Appliqued|Embroidered,,127,,,,,,183210,"Gift of Dr. Hiram M. Hiller, 1901","[Article] Hodges, Richard. 2008. The University of Pennsylvania Museum: Changing Paradigms. Arts of Asia. 38 (5): 74-82.|[Catalogue] Ainu Bunka Shinkō Kenkyū Suishin Kikō. 2008. アイヌの工芸 : ペンシルバニア大学考古学人類学博物館ヒラーコレクション = Ainu collections : University of Pe",,https://www.penn.museum/collections/object.php?irn=183210,11,qatar_item,museum,/img/derivatives/simple/obj12/thumbnail.jpg,/img/derivatives/simple/obj12/fullwidth.jpg
obj13,B10000_01.jpg,Babylonian,On Display,"Cream colored stone. Land transfer document. Administrative text, field purchase. See CDLI for transliteration info and line art (hand drawing of inscription). 
 Exhibited in the Middle East Galleries as number B1000.",Tablet,Stone,Iraq|Tello,P10542|B10000|CBS 10000,CDLI Number|Old Museum Number|Other Number,,,,Early Dynastic IIIB,2500-2340 BCE,-2500,-2340,,,,,,,,,,,347463,"Purchased from the Turkish Commissioner, Constantiople, 1898","[Article] Barton, George A. 1913. The Tablet of Enkhegal. The Museum Journal. 4 (2): 50-54.",Middle East Galleries - Exhibition (21 Apr 2018),https://www.penn.museum/collections/object.php?irn=347463,12,qatar_item,museum,/img/derivatives/simple/obj13/thumbnail.jpg,/img/derivatives/simple/obj13/fullwidth.jpg
obj14,149017.jpg,Babylonian,On Display,"Map with lexical text.
 Exhibited in the Middle East Galleries as number B13885.",Tablet,Clay,Iraq|Nippur,P230841|B13885|CBS 13885,CDLI Number|Old Museum Number|Other Number,,,,Kassite Period,ca. 1500 BCE,-1550,-1450,Map,,,,12.5,11,2.5,,,,98408,"Babylonian Expedition to Nippur I-IV, 1888-1900",[Catalogue] Cooper-Hewitt Museum. 1993. The Power of Maps.|[Web Site] Cuneiform Digital Library Initiative. Cuneiform Digital Library Initiative: Archival View of P230841.,"Middle East Galleries - Exhibition (21 Apr 2018)|World Culture Day / Six Continents, One World: A Day of Archaeological Discovery / ""What in the World"" - Exhibition (22 Oct 1994 - 22 Oct 1994)",https://www.penn.museum/collections/object.php?irn=98408,13,qatar_item,museum,/img/derivatives/simple/obj14/thumbnail.jpg,/img/derivatives/simple/obj14/fullwidth.jpg
obj15,B14156_01.jpg,Babylonian,On Display,"CBS Register: Complete dark tablet. unbaked. cracked. Scholar's exercise list of words. 
 Lexical text. CDLI Composite: Q000039. See CDLI for transliteration info. 
 Exhibited in the Middle East Galleries as number B14156.",Tablet,Clay,Iraq|Nippur,P227783|B14156|CBS 14156,CDLI Number|Old Museum Number|Other Number,,,,Old Babylonian Period,1900-1600 BCE,-1900,-1600,,,,,16.7,14,3.5,,,,439279,"Babylonian Expedition to Nippur I-IV, 1888-1900","[Book] Holod, Renata & Ousterhout, Robert G. 2011. Osman Hamdi Bey & the Americans / Osman Hamdi Bey ve Amerikalilar.",Middle East Galleries - Exhibition (21 Apr 2018)|Archaeologists and Travelers in Ottoman Lands - Exhibition (26 Sep 2010 - 26 Jul 2011),https://www.penn.museum/collections/object.php?irn=439279,14,qatar_item,museum,/img/derivatives/simple/obj15/thumbnail.jpg,/img/derivatives/simple/obj15/fullwidth.jpg
obj16,250791.jpg,Egyptian,On Display,"Red granite Sphinx of Ramses II, (19th Dynasty, circa 1293-1185 BCE). It was excavated in the area of the sacred enclosure of the temple of the god Ptah at Memphis, Egypt. The sphinx, a lion with a human head, represents the power of the Egyptian king, both to protect his people and to conquer the enemies of Egypt. This statue was buried up to its shoulders; only the exposed head was attacked by windblown sand, which eroded the facial features and the royal false beard. The inscriptions on the chest and around the base give the five names of Ramses II. His son and successor, Merenptah, added his own cartouches to the shoulders after his father's death. This sphinx, the the largest in the Western hemisphere, was quarried at Aswan and transported by river to the Ptah Temple at Memphis, 600 miles away. While it has never been placed on a scale, it is estimated to weigh just under 13 tons.",Statue,Granite,Egypt|Memphis (Egypt),,,,,,New Kingdom|Nineteenth Dynasty,1293-1185 BCE,-1293,-1185,Sphinx,,,,362,145,,,,,118724,"Gift of the British School of Archaeology, 1913","[Book] 2020. Memphis in der Dritten Zwischenzeit. Eine Studie zur (Selbst-)Reprasentation von Eliten in der 21. und 22. Dynastie.|[Book] Sourouzian, Hourig. 2020. Recherches sur la statuaire royale de la XIXe dynastie.|[Book] Wegner, Josef W. & Wegner, Je",Sphinx Gallery - Exhibition (16 Nov 2019),https://www.penn.museum/collections/object.php?irn=118724,15,qatar_item,museum,/img/derivatives/simple/obj16/thumbnail.jpg,/img/derivatives/simple/obj16/fullwidth.jpg
obj17,151198.jpg,Egyptian,On Display,"String of 30 gold cowrie shell-shaped beads, one gold pomegranate shaped bead with granulation, and two large barrel-shaped beads, one gold and one chalcedony. Cast gold pendant of the goddess Sekhmet standing, with her hands at her sides.",Necklace,Gold|Chalcedony,Egypt|Mit-Rahineh,M6253|J303,Field No SF|Cast Number,,,,Late Period|Twenty-Sixth Dynasty,570 - 526 BCE,-571,-525,Sekhmet|Cowrie Shell|Pomegranate,,Cast,,37,4.4,1.5,,,,21539,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920","[Book] Wegner, Josef W. & Wegner, Jennifer H. 2015. The Sphinx That Traveled To Philadelphia. 239.|[Book] Quick, Jennifer. 2004. Magnificent Objects from the University of Pennsylvania Museum of Archaeology and Anthropology.|[Book] Silverman, David P. 199",Ancient Egypt: Discovery to Display - Exhibition (23 Feb 2019),https://www.penn.museum/collections/object.php?irn=21539,16,qatar_item,museum,/img/derivatives/simple/obj17/thumbnail.jpg,/img/derivatives/simple/obj17/fullwidth.jpg
obj18,250977.jpg,Egyptian,On Display,Mummy mask of gilded and painted cartonnage. Vertical stripes of dark blue paint and gilt define the mask's wig. The face is gilded and the eyes are elaborated with paint. The deceased is shown wearing a gilt collar decorated with raised decorations.,Mummy Mask,Cartonnage,Egypt,,,Ptolemaic|Roman,,,Ptolemaic Period|Roman Period,post 300 BCE,-300,-250,Woman,,Gilded|Painted,52.1,,25.4,30.5,,,,333347,"Gift of Helene Rubenstein, 1953","[Book] Dorling Kindersley Limited. 2014. History of the World in 1,000 Objects.|[Book] Silverman, David P. 1997. Searching for Ancient Egypt: Art, Architecture and Artifacts from the University of Pennsylvania Museum.",Searching for Ancient Egypt: - Exhibition (1997 - 1997)|Mummy Room - E,https://www.penn.museum/collections/object.php?irn=333347,17,qatar_item,museum,/img/derivatives/simple/obj18/thumbnail.jpg,/img/derivatives/simple/obj18/fullwidth.jpg
obj19,151103.jpg,Egyptian,On Display,"Statue group of a family with a father and mother on the left and their two sons beside them. The son, Pepi is identified as the donor of this statue. The physiognomy of the group reflects royal figures of the 12th/13th dyns. with large ears, heavy lidded eyes. Each of the four figures is inscribed with an offering formula, titles and a personal name.",Statue,Basalt,Egypt,,,,,,Middle Kingdom,1938-1630 BCE,-1938,-1630,Family|Four Figures,,,42.5,,34,12,,,,206493,"Purchased from Nasli M. Heermaneck, 1959","[Book] Silverman, David P. 1997. Searching for Ancient Egypt: Art, Architecture and Artifacts from the University of Pennsylvania Museum.|[Book] Horne, Lee C. 1985. Introduction to the Collections of The University Museum.|[Catalogue, Exhibition] 2013. Qu",Ancient Egypt: Discovery to Display - Exhibition (23 Feb 2019),https://www.penn.museum/collections/object.php?irn=206493,18,qatar_item,museum,/img/derivatives/simple/obj19/thumbnail.jpg,/img/derivatives/simple/obj19/fullwidth.jpg
obj20,195245.jpg,European,Collections Storage,"Bronze, yellow patina. Double-edged with slightly recurved sides tapering from wide guard to rounded point. 2 heavy studs through butt",Dagger Blade,Bronze,England|Newark|Trent River,328,Collector Number,Bronze Age,,,Bronze Age,,,,,,,,22.5,5.7,,,,,183917,"Gift of Mrs. Morgan Wing on behalf of the Estate of Florence C. Whitney, 1942","[Book] Quick, Jennifer. 2004. Magnificent Objects from the University of Pennsylvania Museum of Archaeology and Anthropology.",Magnificent Objects - Exhibition (06 May 2004 - Mar 2005)|Weapons and Defense - Exhibition (27 Oct 1951 - 06 Jan 1952),https://www.penn.museum/collections/object.php?irn=183917,19,qatar_item,museum,/img/derivatives/simple/obj20/thumbnail.jpg,/img/derivatives/simple/obj20/fullwidth.jpg
obj21,150500.jpg,European,Collections Storage,Bronze; Two sheets of bronze attached front and back by folding a flap of metal from one over the other at rim; 3 rivets secure. Crest made by folding edge of one sheet over the other; decorated by fine parallel incised lines.,Helmet,Bronze,France|Normandy|Calvados|Bernieres d'Ailly,,,Hallstatt Culture|Western European,,,Late Bronze Age,1199-700 BCE,-1199,-700,,,Incised,,,,,,,,355280,"Purchased from J. J. Klejman, 1970","[Book] Dorling Kindersley Limited. 2014. History of the World in 1,000 Objects.|[Book] Quick, Jennifer. 2004. Magnificent Objects from the University of Pennsylvania Museum of Archaeology and Anthropology.|[Article] Hamilton, Elizabeth G. 2003. What in th",Magnificent Objects - Exhibition (06 May 2004 - Mar 2005)|Artifacts in Bloom - Exhibition (2003 - 2003),https://www.penn.museum/collections/object.php?irn=355280,20,qatar_item,museum,/img/derivatives/simple/obj21/thumbnail.jpg,/img/derivatives/simple/obj21/fullwidth.jpg
obj22,150602.jpg,Mediterranean,On Display,"SYRAKOSION Head of Arethusa l., four dolphins around; traces of the artist's signature below (EYAINE, of which N visible).; Quadriga l. driven by charioteer with goad, above Nike flying r., about to crown charioteer; in ex., shield, greaves, cuirass and helmet.",Coin|Decadrachm,Silver,Mediterranean,,,Greek,,Syracuse|Sicily,Classical Greek Period,405-345 BCE,-405,-345,Persephone|Dolphins|Quadriga|Charioteer|Nike,,,,,,,,3.4,42.92,332205,"Received from various sources, pre-1929","[Article] White, Donald J. 2011. A View of the Horse from the Classical Perspective. Expedition: The Magazine of the University of Pennsylvania Museum of Archaeology and Anthropology. 53 (3): 24-33.|[Book] Quick, Jennifer. 2004. Magnificent Objects from t",Ancient Greek World - Exhibition (08 May 1994)|Classical Gallery: Greece - Exhibition (1975 - 1989),https://www.penn.museum/collections/object.php?irn=332205,21,qatar_item,museum,/img/derivatives/simple/obj22/thumbnail.jpg,/img/derivatives/simple/obj22/fullwidth.jpg
obj23,152877.jpg,Mediterranean,On Display,"Crested Helmet. Mended and restored. Made from two sheets of hammered bronze, one of which, slightly larger, is folded over the edge of the other along outer margin of crest and behind large protruding rivets beneath the crest. Oblong rectangular pieces riveted over the joints for greater strength where strain was heaviest. Nine rivets fasten each of the re-inforcements, 3 protruding ornamental rivets in center, 3 plain on either side. Decoration of crest: lines and rows of dots of various sizes arranged around a large central boss.",Helmet,Bronze|Copper Alloy,Italy|Etruria|Narce,820,Stevenson Etruscan Series Number,Faliscan|Etruscan,,,,725-700 BCE,-725,-700,,,,43,8.5,40.5,,,,,111990,"Purchased from Francesco Mancinelli-Scotti, 1896","[Book] Dorling Kindersley Limited. 2014. History of the World in 1,000 Objects.|[Catalogue, Exhibition] Turfa, Jean M. 2005. Catalogue of the Etruscan Gallery of the University of Pennsylvania Museum of Archaeology and Anthropology.|[Book] Quick, Jennifer",Classical World - Etruscan World - Exhibition (15 Mar 2003),https://www.penn.museum/collections/object.php?irn=111990,22,qatar_item,museum,/img/derivatives/simple/obj23/thumbnail.jpg,/img/derivatives/simple/obj23/fullwidth.jpg
obj24,MS3442_01.jpg,Mediterranean,On Display,"Amphora, type A. Side A: Ajax with the body of Achilles. Left, Menelaos (labeled), holding a round shield (device: dog with a haunch of a hoofed animal), has pushed his spear into the chest of a naked man with African features (labeled Amasos) who holds a club and a pelta (wicker shield). At right, Ajax bends to lift the dead body of Achilles (name partially preserved). B: Death of Antilochos. Antilochos (labeled) lies slain in center. Three warriors run to left: two helmeted warriors with round shields (device of one shield: crow) and spears and a bearded man in a flapped hat. They chase two naked men, one carrying a pelta, away from the body of Antilochos Palmette lotus chain above panels. With Greek dipinto inscriptions. The foot is not preserved, restored in plaster. Orvieto, Crocifisso del Tufo, Tomb 1",Amphora,Ceramic,Italy|Etruria|Orvieto,,,Greek|Etruscan,,Athens|Attica,Archaic Greek Period,540-530 BCE,-540,-530,Death of Achilles|Death of Antilochos|Menelaos|Amasos|Dipinto|Ajax|Game|Iliad|Memnon|Inscription|Warrior|Warfare,Exekias,Black Figure,58.3,,,,,37.5,,259763,"Purchased from Riccardo Mancini|Subscription of John Wanamaker, 1898","[Electronic] 1997. The Perseus Project.|[Catalogue, Exhibition] Reusser, Christoph. 2018. ""Exekias hat mich gemalt und getöpfert"" : Ausstellung in der Archäologischen Sammlung der Universität Zürich, 9.11.2018 - 31.3.2019.|[Book] Mackay, E. A. 2010. T",Ancient Greek World - Exhibition (08 May 1994)|Mini Greek Exhibit - Exhibition (09 Oct 1989 - 1994)|Classical Gallery: Greece - Exhibition (1975 - 1989),https://www.penn.museum/collections/object.php?irn=259763,23,qatar_item,museum,/img/derivatives/simple/obj24/thumbnail.jpg,/img/derivatives/simple/obj24/fullwidth.jpg
obj25,195503.jpg,Mediterranean,Collections Storage,"Sommerville: Chalcedony-Onyx. Bacchus and Ariadne, Cupid, and Ariadne's partner. Miscellaneous Cameos, Case OOOO.
 
 Vermeule: (Unmounted) Dionysos, Ariadne, Eros and a panther. Dionysos is seen discovering Ariadne who is seated in dejected attitude on the Island of Naxos.",Gem,Chalcedony|Onyx|Gold,Mediterranean,1358,Sommerville Gem Number,Graeco-Roman,,,Post Classical,1600-1699,1600,1699,Bacchus|Dionysos|Ariadne|Eros|Panther,,Cameo,2.6,,2.4,,,,,161640,"Bequest of Maxwell Sommerville, 1904","[Book] Sommerville, Maxwell. 1889. Engraved Gems: Their History and an Elaborate View of Their Place In Art.|[Book] Sommerville, Maxwell. 1901. Engraved Gems.",Penn in the World: Twelve Decades at the University of Pennsylvania Museum - Exhibition (08 May 2008 - 28 Sep 2008),https://www.penn.museum/collections/object.php?irn=161640,24,qatar_item,museum,/img/derivatives/simple/obj25/thumbnail.jpg,/img/derivatives/simple/obj25/fullwidth.jpg
obj26,250851.jpg,Near Eastern,On Display,"CBS Register: U.12357. Goat of gold, silver, lapis, shell, in the round, standing in a gold bush, on mosaic pavement.
 
 Small figural furnishing found with a near duplicate in grave 1237 in the Royal Cemetery at Ur. Though colloquially known as the 'Ram in the Thicket' it more accurately depicts a goat standing on its back legs to feed on leaves in a tree. The goat is formed of shell, lapis, and gold originaly formed over a wood and bitumen core. It was crushed flat by the weight of some nine meters of soil above it and had to be painstakingly restored.",Statue,Gold|Silver|Lapis Lazuli,Iraq|Ur,U.12357|B18422,Field No SF|Old Museum Number,,,,,2450 BCE,-2450,-2450,Ram|Goat|Tree,,,42.5,18,27,,,,,242250,"British Museum/University Museum Expedition to Ur, Iraq, 1930","[Article] Legrain, Leon. 1944. The Babylonian Collection of the University Museum. The University Museum Bulletin. 10 (3-4): 1-75.|[Catalogue] Zettler, Richard L. & Horne, Lee C. 1998. Treasures from the Royal Tombs of Ur.|[Book] Quick, Jennifer. 2004. Ma",Middle East Galleries - Exhibition (21 Apr 2018)|Iraq's Ancient Past: Rediscovering Ur's Royal Cemetery - Exhibition,https://www.penn.museum/collections/object.php?irn=242250,25,qatar_item,museum,/img/derivatives/simple/obj26/thumbnail.jpg,/img/derivatives/simple/obj26/fullwidth.jpg
